id,title,latitude,longitude,image_url,post_url
53858248989,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248989_a399d726e3_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248989
53858248939,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248939_e78c973c51_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248939
53858248914,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248914_9575147bcd_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248914
53856984287,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53856984287_412a8bc35a_w.jpg,https://www.flickr.com/photos/7702423@N04/53856984287
53858248714,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248714_ca1732d84a_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248714
53858248469,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248469_2fa0fbb540_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248469
53858248279,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858248279_0a63eaf5ca_w.jpg,https://www.flickr.com/photos/7702423@N04/53858248279
53858247919,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858247919_21e55bc855_w.jpg,https://www.flickr.com/photos/7702423@N04/53858247919
53858298245,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53858298245_3a92a33374_w.jpg,https://www.flickr.com/photos/7702423@N04/53858298245
53857877616,"(Mostly) Mornings with Runyon & Friends - May 2024 (Ypsilanti, Michigan)",42.206943,-83.631839,https://live.staticflickr.com/65535/53857877616_23830d76a5_w.jpg,https://www.flickr.com/photos/7702423@N04/53857877616
